Chapter,Page,PageRow,PageBodyRows,PageSectionHeaders,PageRenderedRows,StatID,Section,Measure,Source,EarlierYear,LatestYear,Earlier,Latest,Change,EndpointRule,AuditFlag
Chapter 2,1,29,30,6,36,barrier_enroll_in_home_country_institutions,Recruitment and barriers (2015–2025),Institutions citing enroll in home country institutions,NA,NA,NA,59%²⁰¹⁵,54%,-5.0 pp,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 2,1,30,30,6,36,economic_contribution,Economic contribution,International-student contribution to the US economy,FIG205,NA,NA,$10.7B,$56B,5.22×,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 3,1,1,31,5,36,pipeline_bachelors,Where International Students Sit in the Talent Pipeline,Enrolled in bachelor’s programs,FIG301,NA,NA,"177,000","301,000",+69.7%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 3,1,2,31,5,36,pipeline_masters,Where International Students Sit in the Talent Pipeline,Enrolled in master’s programs,FIG301,NA,NA,"111,000","306,000",+176%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 3,1,3,31,5,36,pipeline_doctorate,Where International Students Sit in the Talent Pipeline,Enrolled in doctoral programs,FIG301,NA,NA,"72,900","153,000",+110%,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 3,1,4,31,5,36,pipeline_professional,Where International Students Sit in the Talent Pipeline,Enrolled in professional programs,NA,NA,NA,"9,480","16,300",+72.4%,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 3,1,5,31,5,36,pipeline_nondegree,Where International Students Sit in the Talent Pipeline,Enrolled in non-degree programs,NA,NA,NA,"34,400","37,800",+9.77%,First nonmissing observation → latest nonmissing observation,CHECK: source map missing
Chapter 3,1,6,31,5,36,pipeline_opt,Where International Students Sit in the Talent Pipeline,Participating in Optional Practical Training (OPT),FIG301,NA,NA,"24,900","294,000","+1,080%",First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 3,1,7,31,5,36,postdoc_science,International Talent in Research,International share of science postdocs,FIG302,NA,NA,57.1%,57.3%²⁰²⁴,+0.2 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
Chapter 3,1,8,31,5,36,postdoc_engineering,International Talent in Research,International share of engineering postdocs,FIG302,NA,NA,67.7%,68%²⁰²⁴,+0.3 pp,First nonmissing observation → latest nonmissing observation,CHECK: earlier cell has no year
