Company,Year Founded,No of Founders,Pitchbook Valuation,Founder Makeup Binary,Year Founded.1,No of Founders.1,Pitchbook Valuation.1,Founder Makeup Binary.1
Hippo Insurance,2015.0,2.0,100000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Falkonry,2012.0,1.0,90500000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Aira,2014.0,5.0,90000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Canvas,2017.0,3.0,86000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
RevComm,2017.0,1.0,81170000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Drishti,2017.0,3.0,75200000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Affectiva,2009.0,2.0,73500000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Embark Trucks,2016.0,2.0,71000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
MindBridge,2015.0,1.0,69810000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
ImagenAI,2020.0,3.0,67030000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Ezra,2018.0,2.0,65000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Noodle.ai,2016.0,5.0,54000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
FarmWise Labs,2016.0,2.0,32720000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Tome,2020.0,2.0,24000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Zebrium,2014.0,2.0,23860000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Rulai,2016.0,2.0,21830000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Deep 6,2013.0,2.0,18200000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Blue Hexagon,2017.0,2.0,10000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Sleek,2019.0,2.0,10000000.0,Has a Confirmed Foreign Founder or Co Founder,,,,
Brain Technologies,2015.0,1.0,,Has a Confirmed Foreign Founder or Co Founder,,,,
Cradle,2021.0,5.0,,Has a Confirmed Foreign Founder or Co Founder,,,,
Intelligencia,2018.0,2.0,,Has a Confirmed Foreign Founder or Co Founder,,,,
Waabi,2021.0,1.0,,Has a Confirmed Foreign Founder or Co Founder,,,,
Figure AI,,,,,2022.0,1.0,39000000000.0,Has No Confirmed Foreign Founder or Co Founder
Anduril Industries,,,,,2017.0,5.0,30500000000.0,Has No Confirmed Foreign Founder or Co Founder
Scale AI,,,,,2016.0,2.0,29187630000.0,Has No Confirmed Foreign Founder or Co Founder
Samsara,,,,,2015.0,2.0,11508540000.0,Has No Confirmed Foreign Founder or Co Founder
Crusoe,,,,,2018.0,2.0,10000000000.0,Has No Confirmed Foreign Founder or Co Founder
Sierra,,,,,2023.0,2.0,10000000000.0,Has No Confirmed Foreign Founder or Co Founder
Abridge,,,,,2018.0,2.0,5300000000.0,Has No Confirmed Foreign Founder or Co Founder
Shield AI,,,,,2015.0,3.0,5300000000.0,Has No Confirmed Foreign Founder or Co Founder
Abnormal Security,,,,,2018.0,2.0,5100000000.0,Has No Confirmed Foreign Founder or Co Founder
Harvey,,,,,2022.0,2.0,5000000000.0,Has No Confirmed Foreign Founder or Co Founder
Dataminr,,,,,2009.0,1.0,4100000000.0,Has No Confirmed Foreign Founder or Co Founder
Ironclad,,,,,2014.0,2.0,3200000000.0,Has No Confirmed Foreign Founder or Co Founder
Recursion,,,,,2013.0,3.0,2505000000.0,Has No Confirmed Foreign Founder or Co Founder
Lambda,,,,,2012.0,2.0,2500000000.0,Has No Confirmed Foreign Founder or Co Founder
Windsurf (formerly Codeium),,,,,2021.0,2.0,2400000000.0,Has No Confirmed Foreign Founder or Co Founder
Uptake,,,,,2014.0,1.0,2330000000.0,Has No Confirmed Foreign Founder or Co Founder
Matterport,,,,,2011.0,3.0,2010080000.0,Has No Confirmed Foreign Founder or Co Founder
